id,day,words,links
0,0,"[""LUCY"",""YOU"",""US"",""OK"",""MA"",""SPARROW"",""SILVER"",""STAR""]","[""I LOVE ___"",""PRONOUNS"",""MAGAZINES"",""STATE ABBREVIATIONS"",""JACKS"",""FICTIONAL PIRATES"",""___ FISH THAT AREN’T FISH""]"
1,1,"[""ARCH"",""BALL"",""OUT"",""COPY"",""PARROT"",""MIRROR"",""GARLIC"",""BREAD""]","[""FOOT PARTS"",""BASEBALL CALLS"",""RADIO LINGO"",""SYNONYMS FOR IMITATE"",""IMITATE"",""ANTI-VAMPIRE"",""GARLIC BREAD INGREDIENTS""]"
2,2,"[""ASTEROID"",""MOON"",""HORSESHOE"",""HANDLEBAR"",""GEAR"",""SAW"",""RING"",""BOUQUET""]","[""CELESTIAL OBJECTS"",""LUCKY CHARMS MARSHMALLOWS"",""MUSTACHES"",""BIKE PARTS"",""THINGS WITH TEETH"",""HORROR FRANCHISES"",""BRIDAL ACCESSORIES""]"
3,3,"[""EGG"",""ROSE"",""HEART"",""KIDNEY"",""LIMA"",""POLISH"",""FILE"",""HAMMER""]","[""ONE IN A DOZEN"",""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS"",""TOOLS""]"
4,4,"[""MOTHER"",""BABY"",""WAYNE"",""PRINCE"",""KING"",""QUEEN"",""MATE"",""CHUM""]","[""TREAT WITH EXCESSIVE CARE"",""LIL ___ RAPPERS"",""SUPERHERO LAST NAMES"",""ROYAL TITLES"",""MATTRESS SIZES"",""CHESS TERMS"",""FRIEND""]"
5,5,"[""GUARD"",""WATCH"",""CLOCK"",""CAMERA"",""CUT"",""COPY"",""PARROT"",""MIRROR""]","[""LOOK AFTER"",""TIMEKEEPING DEVICES"",""SMARTPHONE FEATURES BEGINNING WITH “C”"",""FILM SET DIRECTIVES"",""EDIT MENU COMMANDS"",""SYNONYMS FOR IMITATE"",""IMITATE""]"
6,6,"[""BEE"",""JAY"",""CARDINAL"",""BEET"",""ONION"",""POPPY"",""DADA"",""POP""]","[""LETTER SPELLINGS"",""BIRDS"",""THINGS THAT ARE RED"",""VEGETABLES"",""BAGEL FLAVORS"",""FAMILIAL NICKNAMES"",""ART MOVEMENTS""]"
7,7,"[""CRUMBLE"",""MELT"",""SUB"",""HERO"",""GREAT"",""GIANT"",""WOLF"",""SCARF""]","[""WAYS TO PREPARE CHEESE"",""SANDWICHES"",""LONG SANDWICHES"",""ALL-TIMER"",""ENORMOUS"",""FAIRY TALE FIGURES"",""SYNONYMS FOR EAT""]"
8,8,"[""DOJA"",""FAT"",""ASH"",""PINE"",""ACHE"",""SMART"",""HUNT"",""STALK""]","[""___ CAT"",""WORDS BEFORE DAYS OF THE WEEK"",""TREES"",""YEARN"",""HURT"",""FICTIONAL SPIES"",""PURSUE""]"
9,9,"[""BRASS"",""CHEEK"",""EYE"",""CROOK"",""SHARK"",""PERCH"",""LAND"",""SECURE""]","[""SHAMELESS BOLDNESS"",""FACIAL FEATURES"",""EGYPTIAN SYMBOLS"",""SWINDLER"",""FISH"",""COME DOWN TO REST"",""OBTAIN""]"
10,10,"[""PLANT"",""WATER"",""FIRE"",""RED"",""DEMO"",""AUTO"",""SUB"",""CLUB""]","[""GARDENING NOUNS/VERBS"",""CLASSICAL ELEMENTS"",""___ ANT"",""___ TAPE"",""PREFIXES WITH -CRACY"",""COMMON PREFIXES"",""SANDWICHES""]"
11,11,"[""HAIL"",""SNOW"",""CARROT"",""BEET"",""CARDINAL"",""SWIFT"",""MARS"",""CRUNCH""]","[""WET WEATHER"",""USED TO BUILD A SNOWMAN"",""VEGETABLES"",""THINGS THAT ARE RED"",""BIRDS"",""POP MEGASTARS"",""CHOCOLATE BARS""]"
12,12,"[""EAGLE"",""DRIVER"",""WEST"",""MATCH"",""BUMBLE"",""SPOIL"",""ROT"",""BULL""]","[""GOLF TERMS"",""ADAMS"",""___ POINT"",""DATING APPS"",""MESS UP"",""GO BAD"",""BALDERDASH""]"
13,13,"[""CHERRY"",""FUDGE"",""TWIST"",""SPIRAL"",""SHELL"",""DOWN"",""LOW"",""SHORT""]","[""SUNDAE TOPPINGS"",""ALTER DECEPTIVELY"",""WRAP AROUND IN A CIRCLE"",""PASTA SHAPES"",""ANIMAL COVERINGS"",""SYNONYMS FOR SAD"",""INSUFFICIENT""]"
14,14,"[""BUNNY"",""EGG"",""ROSE"",""HEART"",""KIDNEY"",""LIMA"",""POLISH"",""FILE""]","[""SEEN DURING EASTER"",""ONE IN A DOZEN"",""SEEN ON VALENTINE’S DAY"",""ORGANS"",""BEANS"",""WORDS WITH TWO PRONUNCIATIONS"",""MANICURE STEPS""]"
15,15,"[""SMACK"",""PECK"",""TON"",""SEA"",""ARE"",""YOU"",""US"",""W""]","[""KISS"",""IMPERIAL UNITS"",""LARGE AMOUNT"",""LETTER HOMOPHONES"",""WORDS ABBREVIATED WITH LETTERS"",""PRONOUNS"",""MAGAZINES""]"
16,16,"[""DADDY"",""DAY"",""ERA"",""ALL"",""LOVE"",""RIGHT"",""YES"",""GENESIS""]","[""___-O"",""PERIOD"",""DETERGENTS"",""TENNIS SCORING TERMS"",""___ TRIANGLE"",""RESPONSE TO A CORRECT ANSWER"",""CLASSIC ROCK BANDS""]"
17,17,"[""BUCKS"",""HEAT"",""FAT"",""HOUSE"",""MOON"",""HORSESHOE"",""HANDLEBAR"",""GEAR""]","[""NBA TEAMS"",""ELEMENTS OF COOKING,  PER SAMIN NOSRAT"",""___ CAT"",""FULL ___"",""LUCKY CHARMS MARSHMALLOWS"",""MUSTACHES"",""BIKE PARTS""]"
